 z     x    y     azimuth    dip    src/rec(0/1)
   5.00000000       100.000000               0           0           0           0
   20.0000000       100.000000               0           0           0           1
   20.0000000       120.000000               0           0           0           1
   20.0000000       140.000000               0           0           0           1
   20.0000000       160.000000               0           0           0           1
   20.0000000       180.000000               0           0           0           1
   20.0000000       200.000000               0           0           0           1
   20.0000000       220.000000               0           0           0           1
   20.0000000       240.000000               0           0           0           1
   20.0000000       260.000000               0           0           0           1
   20.0000000       280.000000               0           0           0           1
   20.0000000       300.000000               0           0           0           1
   20.0000000       320.000000               0           0           0           1
   20.0000000       340.000000               0           0           0           1
   20.0000000       360.000000               0           0           0           1
   20.0000000       380.000000               0           0           0           1
   20.0000000       400.000000               0           0           0           1
   20.0000000       420.000000               0           0           0           1
   20.0000000       440.000000               0           0           0           1
   20.0000000       460.000000               0           0           0           1
   20.0000000       480.000000               0           0           0           1
   20.0000000       500.000000               0           0           0           1
   20.0000000       520.000000               0           0           0           1
   20.0000000       540.000000               0           0           0           1
   20.0000000       560.000000               0           0           0           1
   20.0000000       580.000000               0           0           0           1
   20.0000000       600.000000               0           0           0           1
   20.0000000       620.000000               0           0           0           1
   20.0000000       640.000000               0           0           0           1
   20.0000000       660.000000               0           0           0           1
   20.0000000       680.000000               0           0           0           1
   20.0000000       700.000000               0           0           0           1
   20.0000000       720.000000               0           0           0           1
   20.0000000       740.000000               0           0           0           1
   20.0000000       760.000000               0           0           0           1
   20.0000000       780.000000               0           0           0           1
   20.0000000       800.000000               0           0           0           1
   20.0000000       820.000000               0           0           0           1
   20.0000000       840.000000               0           0           0           1
   20.0000000       860.000000               0           0           0           1
   20.0000000       880.000000               0           0           0           1
   20.0000000       900.000000               0           0           0           1
   20.0000000       920.000000               0           0           0           1
   20.0000000       940.000000               0           0           0           1
   20.0000000       960.000000               0           0           0           1
   20.0000000       980.000000               0           0           0           1
   20.0000000       1000.00000               0           0           0           1
   20.0000000       1020.00000               0           0           0           1
   20.0000000       1040.00000               0           0           0           1
   20.0000000       1060.00000               0           0           0           1
   20.0000000       1080.00000               0           0           0           1
   20.0000000       1100.00000               0           0           0           1
   20.0000000       1120.00000               0           0           0           1
   20.0000000       1140.00000               0           0           0           1
   20.0000000       1160.00000               0           0           0           1
   20.0000000       1180.00000               0           0           0           1
   20.0000000       1200.00000               0           0           0           1
   20.0000000       1220.00000               0           0           0           1
   20.0000000       1240.00000               0           0           0           1
   20.0000000       1260.00000               0           0           0           1
   20.0000000       1280.00000               0           0           0           1
   20.0000000       1300.00000               0           0           0           1
   20.0000000       1320.00000               0           0           0           1
   20.0000000       1340.00000               0           0           0           1
   20.0000000       1360.00000               0           0           0           1
   20.0000000       1380.00000               0           0           0           1
   20.0000000       1400.00000               0           0           0           1
   20.0000000       1420.00000               0           0           0           1
   20.0000000       1440.00000               0           0           0           1
   20.0000000       1460.00000               0           0           0           1
   20.0000000       1480.00000               0           0           0           1
   20.0000000       1500.00000               0           0           0           1
   20.0000000       1520.00000               0           0           0           1
   20.0000000       1540.00000               0           0           0           1
   20.0000000       1560.00000               0           0           0           1
   20.0000000       1580.00000               0           0           0           1
   20.0000000       1600.00000               0           0           0           1
   20.0000000       1620.00000               0           0           0           1
   20.0000000       1640.00000               0           0           0           1
   20.0000000       1660.00000               0           0           0           1
   20.0000000       1680.00000               0           0           0           1
   20.0000000       1700.00000               0           0           0           1
   20.0000000       1720.00000               0           0           0           1
   20.0000000       1740.00000               0           0           0           1
   20.0000000       1760.00000               0           0           0           1
   20.0000000       1780.00000               0           0           0           1
   20.0000000       1800.00000               0           0           0           1
   20.0000000       1820.00000               0           0           0           1
   20.0000000       1840.00000               0           0           0           1
   20.0000000       1860.00000               0           0           0           1
   20.0000000       1880.00000               0           0           0           1
   20.0000000       1900.00000               0           0           0           1
   20.0000000       1920.00000               0           0           0           1
   20.0000000       1940.00000               0           0           0           1
   20.0000000       1960.00000               0           0           0           1
   20.0000000       1980.00000               0           0           0           1
   20.0000000       2000.00000               0           0           0           1
   20.0000000       2020.00000               0           0           0           1
   20.0000000       2040.00000               0           0           0           1
   20.0000000       2060.00000               0           0           0           1
   20.0000000       2080.00000               0           0           0           1
   20.0000000       2100.00000               0           0           0           1
   20.0000000       2120.00000               0           0           0           1
   20.0000000       2140.00000               0           0           0           1
   20.0000000       2160.00000               0           0           0           1
   20.0000000       2180.00000               0           0           0           1
   20.0000000       2200.00000               0           0           0           1
   20.0000000       2220.00000               0           0           0           1
   20.0000000       2240.00000               0           0           0           1
   20.0000000       2260.00000               0           0           0           1
   20.0000000       2280.00000               0           0           0           1
   20.0000000       2300.00000               0           0           0           1
   20.0000000       2320.00000               0           0           0           1
   20.0000000       2340.00000               0           0           0           1
   20.0000000       2360.00000               0           0           0           1
   20.0000000       2380.00000               0           0           0           1
   20.0000000       2400.00000               0           0           0           1
   20.0000000       2420.00000               0           0           0           1
   20.0000000       2440.00000               0           0           0           1
   20.0000000       2460.00000               0           0           0           1
   20.0000000       2480.00000               0           0           0           1
   20.0000000       2500.00000               0           0           0           1
   20.0000000       2520.00000               0           0           0           1
   20.0000000       2540.00000               0           0           0           1
   20.0000000       2560.00000               0           0           0           1
   20.0000000       2580.00000               0           0           0           1
   20.0000000       2600.00000               0           0           0           1
   20.0000000       2620.00000               0           0           0           1
   20.0000000       2640.00000               0           0           0           1
   20.0000000       2660.00000               0           0           0           1
   20.0000000       2680.00000               0           0           0           1
   20.0000000       2700.00000               0           0           0           1
   20.0000000       2720.00000               0           0           0           1
   20.0000000       2740.00000               0           0           0           1
   20.0000000       2760.00000               0           0           0           1
   20.0000000       2780.00000               0           0           0           1
   20.0000000       2800.00000               0           0           0           1
   20.0000000       2820.00000               0           0           0           1
   20.0000000       2840.00000               0           0           0           1
   20.0000000       2860.00000               0           0           0           1
